antecedents,consequents,support,confidence,lift
RUSH_HOUR,"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday",0.4675393596320538,0.674234693877551,1.065543395160692
"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday",RUSH_HOUR,0.4675393596320538,0.7388873357562202,1.065543395160692
WEEKEND_FLAG=Weekday,RUSH_HOUR,0.6934371130373254,0.7351837959489873,1.0602025506376593
RUSH_HOUR,WEEKEND_FLAG=Weekday,0.6934371130373254,1.0,1.0602025506376593
"MALE, RUSH_HOUR",WEEKEND_FLAG=Weekday,0.5524500265345834,1.0,1.0602025506376593
"OLD_VEHICLE, RUSH_HOUR",WEEKEND_FLAG=Weekday,0.4104015566955599,1.0,1.0602025506376593
"AGE_GROUP=Adult, RUSH_HOUR",WEEKEND_FLAG=Weekday,0.4675393596320538,1.0,1.0602025506376593
"MALE, WEEKEND_FLAG=Weekday",RUSH_HOUR,0.5524500265345834,0.7146453089244851,1.0305841661607433
RUSH_HOUR,"MALE, WEEKEND_FLAG=Weekday",0.5524500265345834,0.7966836734693877,1.0305841661607433
"OLD_VEHICLE, WEEKEND_FLAG=Weekday",MALE,0.48682115690783656,0.8346982104943889,1.0171478732323302
OLD_VEHICLE,MALE,0.5220237042278436,0.8338513704436282,1.0161159295360704
MALE,OLD_VEHICLE,0.5220237042278436,0.6361284759646475,1.0161159295360702
"OLD_VEHICLE, WEEKEND_FLAG=Weekday",RUSH_HOUR,0.4104015566955599,0.7036700030330604,1.0147567671290536
MALE,INTERSECTION,0.4937201485936671,0.6016382841129554,1.0077218429897887
INTERSECTION,MALE,0.4937201485936671,0.826962962962963,1.0077218429897887
AGE_GROUP=Adult,"MALE, WEEKEND_FLAG=Weekday",0.5223774986732709,0.7785394147113104,1.007112885895432
"MALE, WEEKEND_FLAG=Weekday",AGE_GROUP=Adult,0.5223774986732709,0.6757437070938215,1.007112885895432
"INTERSECTION, WEEKEND_FLAG=Weekday",MALE,0.45940208738722804,0.8260178117048347,1.0065700990660553
AGE_GROUP=Adult,MALE,0.5542189987617194,0.8259952544160295,1.0065426111691775
MALE,AGE_GROUP=Adult,0.5542189987617194,0.6753610691959474,1.0065426111691775
MALE,"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday",0.5223774986732709,0.6365596033627938,1.00600263847075
"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday",MALE,0.5223774986732709,0.8255521386636847,1.00600263847075
OLD_VEHICLE,"MALE, WEEKEND_FLAG=Weekday",0.48682115690783656,0.7776207968352643,1.0059245685376998
"MALE, WEEKEND_FLAG=Weekday",OLD_VEHICLE,0.48682115690783656,0.6297482837528604,1.0059245685376998
AGE_GROUP=Adult,RUSH_HOUR,0.4675393596320538,0.6968099129976273,1.0048638872896904
