antecedents,consequents,support,confidence,lift
"DARK_CONDITIONS, WEEKEND_FLAG=Weekday",TIME_OF_DAY=Evening,0.41421568627450983,0.601423487544484,1.19865002123311
TIME_OF_DAY=Evening,"DARK_CONDITIONS, WEEKEND_FLAG=Weekday",0.41421568627450983,0.8255408234473134,1.19865002123311
TIME_OF_DAY=Evening,DARK_CONDITIONS,0.43522408963585435,0.8674110258199581,1.1933169025731216
"TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday",DARK_CONDITIONS,0.41421568627450983,0.8673020527859238,1.193166985913583
"LARGE_TRUCK, WEEKEND_FLAG=Weekday","AGE_GROUP=Adult, MALE",0.46148459383753504,0.8486799742434,1.168674062892551
"AGE_GROUP=Adult, MALE","LARGE_TRUCK, WEEKEND_FLAG=Weekday",0.46148459383753504,0.6354869816779172,1.168674062892551
LARGE_TRUCK,"AGE_GROUP=Adult, MALE",0.501750700280112,0.8449292452830188,1.163509124652026
"AGE_GROUP=Adult, MALE",LARGE_TRUCK,0.501750700280112,0.6909353905496625,1.163509124652026
LARGE_TRUCK,"AGE_GROUP=Adult, MALE, WEEKEND_FLAG=Weekday",0.46148459383753504,0.777122641509434,1.1387697609804739
"AGE_GROUP=Adult, MALE, WEEKEND_FLAG=Weekday",LARGE_TRUCK,0.46148459383753504,0.676244227809133,1.1387697609804739
"LARGE_TRUCK, WEEKEND_FLAG=Weekday",AGE_GROUP=Adult,0.4796918767507003,0.8821635544108178,1.0873798495456606
"LARGE_TRUCK, MALE, WEEKEND_FLAG=Weekday",AGE_GROUP=Adult,0.46148459383753504,0.8810160427807486,1.0859653941224938
INTERSTATE,"AGE_GROUP=Adult, MALE",0.42051820728291317,0.7854807063440157,1.0816455628343822
AGE_GROUP=Adult,LARGE_TRUCK,0.5210084033613446,0.6422097539922313,1.0814569913925782
LARGE_TRUCK,AGE_GROUP=Adult,0.5210084033613446,0.8773584905660378,1.0814569913925782
MALE,LARGE_TRUCK,0.572829131652661,0.6415686274509803,1.0803773584905658
LARGE_TRUCK,MALE,0.572829131652661,0.9646226415094339,1.0803773584905658
AGE_GROUP=Adult,"LARGE_TRUCK, MALE",0.501750700280112,0.6184721622788087,1.0796800094549377
"LARGE_TRUCK, MALE",AGE_GROUP=Adult,0.501750700280112,0.8759168704156479,1.0796800094549377
"LARGE_TRUCK, WEEKEND_FLAG=Weekday",MALE,0.5238095238095238,0.9632968448164844,1.0788924661944623
"AGE_GROUP=Adult, LARGE_TRUCK",MALE,0.501750700280112,0.963037634408602,1.0786021505376342
"AGE_GROUP=Adult, LARGE_TRUCK, WEEKEND_FLAG=Weekday",MALE,0.46148459383753504,0.962043795620438,1.0774890510948905
"AGE_GROUP=Adult, RUSH_HOUR",WEEKEND_FLAG=Weekday,0.44712885154061627,1.0,1.0605272929818046
WEEKEND_FLAG=Weekday,RUSH_HOUR,0.5752801120448179,0.61010025993316,1.0605272929818046
"MALE, RUSH_HOUR",WEEKEND_FLAG=Weekday,0.4880952380952381,1.0,1.0605272929818046
RUSH_HOUR,WEEKEND_FLAG=Weekday,0.5752801120448179,1.0,1.0605272929818046
"AGE_GROUP=Adult, LARGE_TRUCK","MALE, WEEKEND_FLAG=Weekday",0.46148459383753504,0.885752688172043,1.0584559319746254
"MALE, WEEKEND_FLAG=Weekday",LARGE_TRUCK,0.5238095238095238,0.6259414225941423,1.0540617352174944
LARGE_TRUCK,"MALE, WEEKEND_FLAG=Weekday",0.5238095238095238,0.8820754716981133,1.0540617352174944
"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday",LARGE_TRUCK,0.4796918767507003,0.6258565555047967,1.053918822241568
LARGE_TRUCK,"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday",0.4796918767507003,0.8077830188679246,1.053918822241568
"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday","LARGE_TRUCK, MALE",0.46148459383753504,0.6021014161717679,1.0511012497472918
"LARGE_TRUCK, MALE","AGE_GROUP=Adult, WEEKEND_FLAG=Weekday",0.46148459383753504,0.8056234718826407,1.0511012497472918
"INTERSTATE, WEEKEND_FLAG=Weekday",AGE_GROUP=Adult,0.40896358543417366,0.8488372093023255,1.0463008501370055
"AGE_GROUP=Adult, INTERSTATE",MALE,0.42051820728291317,0.9310077519379845,1.0427286821705426
INTERSTATE,MALE,0.49824929971988796,0.9306736429038588,1.042354480052322
"INTERSTATE, MALE",AGE_GROUP=Adult,0.42051820728291317,0.8439915671117357,1.040327973962502
INTERSTATE,AGE_GROUP=Adult,0.45168067226890757,0.8436886854153042,1.0399546333820064
"INTERSTATE, WEEKEND_FLAG=Weekday",MALE,0.44572829131652664,0.9251453488372093,1.0361627906976745
RUSH_HOUR,"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday",0.44712885154061627,0.7772367620206939,1.014064957666104
RUSH_HOUR,"MALE, WEEKEND_FLAG=Weekday",0.4880952380952381,0.8484479610468655,1.01387756349366
TIME_OF_DAY=Evening,WEEKEND_FLAG=Weekday,0.47759103641456585,0.9518492672714586,1.0094621267461144
