antecedents,consequents,support,confidence,lift
"DARK_CONDITIONS, LOCATION=URBAN, MOTORCYCLE","GENDER=MALE, WEEKEND_FLAG=Weekday",0.20004163197335553,0.616025641025641,1.4331172782020238
"DARK_CONDITIONS, MOTORCYCLE","GENDER=MALE, WEEKEND_FLAG=Weekday",0.22502081598667778,0.6124645892351275,1.424832874908258
"DARK_CONDITIONS, GENDER=MALE, LOCATION=URBAN, MOTORCYCLE",WEEKEND_FLAG=Weekday,0.20004163197335553,0.6318211702827087,1.4084774487415928
"DARK_CONDITIONS, GENDER=MALE, MOTORCYCLE",WEEKEND_FLAG=Weekday,0.22502081598667778,0.6292200232828872,1.4026788825294618
"DARK_CONDITIONS, LOCATION=URBAN, MOTORCYCLE",WEEKEND_FLAG=Weekday,0.20420482930890924,0.6288461538461538,1.4018454399428877
"DARK_CONDITIONS, MOTORCYCLE",WEEKEND_FLAG=Weekday,0.23064113238967526,0.6277620396600566,1.399428695372117
"TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION",0.20836802664446294,0.7165354330708661,1.3316194276489133
"GENDER=MALE, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION, LOCATION=URBAN",0.2722731057452123,0.633414043583535,1.3048546592518449
WEEKEND_FLAG=Weekday,"DARK_CONDITIONS, INTERSECTION, LOCATION=URBAN",0.2835137385512073,0.6320185614849188,1.301979918256239
WEEKEND_FLAG=Weekday,"DARK_CONDITIONS, GENDER=MALE, INTERSECTION, LOCATION=URBAN",0.2722731057452123,0.6069605568445475,1.2999725880879207
"AGE_GROUP=Adult, GENDER=MALE, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION",0.208992506244796,0.6962552011095701,1.2939303621394098
"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION",0.21835970024979184,0.6960849369608494,1.293613940874244
"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, GENDER=MALE, INTERSECTION",0.208992506244796,0.6662242866622429,1.2895009964244217
"GENDER=MALE, LOCATION=URBAN, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION",0.2722731057452123,0.6935312831389182,1.2888681950481096
"LOCATION=URBAN, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, GENDER=MALE, INTERSECTION",0.2722731057452123,0.665648854961832,1.2883872277343438
"LOCATION=URBAN, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION",0.2835137385512073,0.6931297709923664,1.2881220192832992
"GENDER=MALE, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION",0.29725228975853457,0.6915254237288136,1.285140477985772
WEEKEND_FLAG=Weekday,"DARK_CONDITIONS, INTERSECTION",0.30995004163197337,0.6909512761020882,1.2840734740403992
WEEKEND_FLAG=Weekday,"DARK_CONDITIONS, GENDER=MALE, INTERSECTION",0.29725228975853457,0.6626450116009281,1.2825731811969616
"TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday",DARK_CONDITIONS,0.2672772689425479,0.9191123836793128,1.2753945381846963
"GENDER=MALE, TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday",DARK_CONDITIONS,0.2531223980016653,0.9184290030211482,1.274446253758982
"LOCATION=URBAN, TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday",DARK_CONDITIONS,0.23771856786011658,0.9150641025641026,1.2697769926972702
"GENDER=MALE, LOCATION=URBAN, TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday",DARK_CONDITIONS,0.22543713572023313,0.9146959459459459,1.2692661248770434
"TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, GENDER=MALE",0.2531223980016653,0.8704366499642091,1.2587530603335522
"GENDER=MALE, TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, LOCATION=URBAN",0.22543713572023313,0.8179758308157099,1.2574578851963747
"TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, LOCATION=URBAN",0.23771856786011658,0.8174659985683608,1.2566741302791697
"INTERSECTION, TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday",DARK_CONDITIONS,0.20836802664446294,0.9050632911392404,1.2558994946946596
"LOCATION=URBAN, TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, GENDER=MALE",0.22543713572023313,0.8677884615384616,1.2549234705691659
"GENDER=MALE, SEASON=Fall, TIME_OF_DAY=Evening",DARK_CONDITIONS,0.21378018318068276,0.9040492957746479,1.25449243700214
"SEASON=Fall, TIME_OF_DAY=Evening",DARK_CONDITIONS,0.2243963363863447,0.9013377926421404,1.2507298543769043
"SEASON=Fall, TIME_OF_DAY=Evening","DARK_CONDITIONS, GENDER=MALE",0.21378018318068276,0.858695652173913,1.2417742062141714
"TIME_OF_DAY=Evening, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, GENDER=MALE, LOCATION=URBAN",0.22543713572023313,0.7752326413743736,1.2405788171760461
"AGE_GROUP=Adult, GENDER=MALE, WEEKEND_FLAG=Weekday",DARK_CONDITIONS,0.2666527893422148,0.8883495145631068,1.23270683649947
"LOCATION=URBAN, VEHICLE=NEW, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION",0.20691090757701916,0.6631087391594396,1.2323305156371172
"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday",DARK_CONDITIONS,0.27789342214820983,0.8858659588586596,1.2292605622059505
"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, GENDER=MALE",0.2666527893422148,0.8500331785003318,1.229247257530281
"AGE_GROUP=Adult, GENDER=MALE, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, LOCATION=URBAN",0.2400083263946711,0.7995839112343966,1.2291843550624133
"AGE_GROUP=Adult, GENDER=MALE, LOCATION=URBAN, WEEKEND_FLAG=Weekday",DARK_CONDITIONS,0.2400083263946711,0.8835249042145593,1.2260120276853677
"GENDER=MALE, VEHICLE=NEW, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION",0.2175270607826811,0.6593059936908517,1.2252634404993623
"VEHICLE=NEW, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, INTERSECTION",0.2285595337218984,0.65906362545018,1.2248130199855571
"AGE_GROUP=Adult, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, GENDER=MALE, LOCATION=URBAN",0.2400083263946711,0.7650962176509621,1.224357837973092
"AGE_GROUP=Adult, LOCATION=URBAN, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, GENDER=MALE",0.2400083263946711,0.8465491923641704,1.224209006657879
