antecedents,consequents,support,confidence,lift
"AGE_GROUP=Adult, DARK_CONDITIONS, MALE",TIME_OF_DAY=Night,0.4010327022375215,0.7535880331514049,1.1905768790237015
TIME_OF_DAY=Night,"AGE_GROUP=Adult, DARK_CONDITIONS, MALE",0.4010327022375215,0.6335825968728755,1.1905768790237015
"AGE_GROUP=Adult, TIME_OF_DAY=Night","DARK_CONDITIONS, MALE",0.4010327022375215,0.8998310403089549,1.1796402976607028
"DARK_CONDITIONS, MALE",TIME_OF_DAY=Night,0.5691695352839932,0.746157100549993,1.1788369148050195
TIME_OF_DAY=Night,"DARK_CONDITIONS, MALE",0.5691695352839932,0.8992182188987085,1.1788369148050195
"AGE_GROUP=Adult, DARK_CONDITIONS","MALE, TIME_OF_DAY=Night",0.4010327022375215,0.6712279438242709,1.1759771891802528
"MALE, TIME_OF_DAY=Night","AGE_GROUP=Adult, DARK_CONDITIONS",0.4010327022375215,0.7026008292499057,1.1759771891802528
"AGE_GROUP=Adult, DARK_CONDITIONS",TIME_OF_DAY=Night,0.44459982788296043,0.7441483615412317,1.175663352972007
TIME_OF_DAY=Night,"AGE_GROUP=Adult, DARK_CONDITIONS",0.44459982788296043,0.7024133242692047,1.175663352972007
"AGE_GROUP=Adult, MALE, TIME_OF_DAY=Night",DARK_CONDITIONS,0.4010327022375215,0.9981258366800535,1.1655040544878503
"AGE_GROUP=Adult, TIME_OF_DAY=Night",DARK_CONDITIONS,0.44459982788296043,0.9975862901279267,1.1648740300250227
DARK_CONDITIONS,"MALE, TIME_OF_DAY=Night",0.5691695352839932,0.6646149981158146,1.164391447886282
"MALE, TIME_OF_DAY=Night",DARK_CONDITIONS,0.5691695352839932,0.9971730116848851,1.164391447886282
DARK_CONDITIONS,TIME_OF_DAY=Night,0.6310240963855421,0.7368421052631579,1.164120362088089
TIME_OF_DAY=Night,DARK_CONDITIONS,0.6310240963855421,0.9969408565601631,1.164120362088089
"DARK_CONDITIONS, TIME_OF_DAY=Night","AGE_GROUP=Adult, MALE",0.4010327022375215,0.6355267644050461,1.029961088198973
"AGE_GROUP=Adult, MALE","DARK_CONDITIONS, TIME_OF_DAY=Night",0.4010327022375215,0.6499302649930265,1.029961088198973
"AGE_GROUP=Adult, MALE",TIME_OF_DAY=Night,0.4017857142857143,0.6511506276150628,1.0287383131049668
TIME_OF_DAY=Night,"AGE_GROUP=Adult, MALE",0.4017857142857143,0.6347722637661455,1.0287383131049666
"DARK_CONDITIONS, WEEKEND_FLAG=Weekend",MALE,0.4437392426850258,0.9093915343915343,1.0212253809741125
"DARK_CONDITIONS, MALE, TIME_OF_DAY=Night",AGE_GROUP=Adult,0.4010327022375215,0.7045927045927045,1.0169063471345725
"DARK_CONDITIONS, TIME_OF_DAY=Night",AGE_GROUP=Adult,0.44459982788296043,0.7045687009887488,1.0168717038334745
AGE_GROUP=Adult,"DARK_CONDITIONS, TIME_OF_DAY=Night",0.44459982788296043,0.6416705480515448,1.0168717038334742
AGE_GROUP=Adult,TIME_OF_DAY=Night,0.44567555938037867,0.6432231020027946,1.0162137926951018
TIME_OF_DAY=Night,AGE_GROUP=Adult,0.44567555938037867,0.7041128484024474,1.0162137926951018
"MALE, TIME_OF_DAY=Night",AGE_GROUP=Adult,0.4017857142857143,0.7039200904636261,1.0159355939993586
WEEKEND_FLAG=Weekend,MALE,0.5567986230636833,0.9037890693207613,1.0149339439968346
MALE,WEEKEND_FLAG=Weekend,0.5567986230636833,0.6252718047837642,1.0149339439968346
"AGE_GROUP=Adult, DARK_CONDITIONS, TIME_OF_DAY=Night",MALE,0.4010327022375215,0.9020082264698766,1.012934099210434
MALE,"DARK_CONDITIONS, TIME_OF_DAY=Night",0.5691695352839932,0.6391640492872676,1.0128995912332832
