antecedents,consequents,support,confidence,lift
"GENDER=MALE, PASSENGER_CAR","DARK_CONDITIONS, WEEKEND_FLAG=Weekend",0.2174053356282272,0.673217854763491,1.3796810356881422
"DARK_CONDITIONS, LOCATION=URBAN","GENDER=MALE, TIME_OF_DAY=Night",0.26043459552495696,0.7845106934543098,1.3744461753394768
"DARK_CONDITIONS, LOCATION=URBAN","AGE_GROUP=Adult, TIME_OF_DAY=Night",0.20126936316695354,0.6062864549578744,1.360376269681004
"AGE_GROUP=Adult, DARK_CONDITIONS, LOCATION=URBAN",TIME_OF_DAY=Night,0.20126936316695354,0.8469895880488909,1.338139906611572
"DARK_CONDITIONS, GENDER=MALE, LOCATION=URBAN",TIME_OF_DAY=Night,0.26043459552495696,0.8403332176327664,1.3276236558657708
"DARK_CONDITIONS, LOCATION=URBAN",TIME_OF_DAY=Night,0.2774311531841652,0.8357096565132858,1.3203189950624583
LOCATION=URBAN,"DARK_CONDITIONS, GENDER=MALE, TIME_OF_DAY=Night",0.26043459552495696,0.7504649721016738,1.3185262484704516
LOCATION=URBAN,"GENDER=MALE, TIME_OF_DAY=Night",0.2606497418244406,0.7510849349039057,1.3158849519160776
WEEKEND_FLAG=Weekday,"DARK_CONDITIONS, VEHICLE=OLD",0.2482788296041308,0.6466797422247128,1.3151465508030913
PASSENGER_CAR,"DARK_CONDITIONS, WEEKEND_FLAG=Weekend",0.24408347676419967,0.638615254714326,1.3087670652170138
"DARK_CONDITIONS, VEHICLE=NEW","GENDER=MALE, TIME_OF_DAY=Night",0.2708691910499139,0.7427728613569321,1.3013223745145195
"GENDER=MALE, WEEKEND_FLAG=Weekday","DARK_CONDITIONS, VEHICLE=OLD",0.21310240963855423,0.6386202450032238,1.2987560265915485
"GENDER=MALE, VEHICLE=NEW","DARK_CONDITIONS, WEEKEND_FLAG=Weekend",0.22654905335628228,0.63016157989228,1.291442250149611
"AGE_GROUP=Adult, LOCATION=URBAN","DARK_CONDITIONS, TIME_OF_DAY=Night",0.20126936316695354,0.8134782608695652,1.2891397737885235
"GENDER=MALE, LOCATION=URBAN","DARK_CONDITIONS, WEEKEND_FLAG=Weekend",0.20342082616179002,0.6288659793814434,1.2887870688557976
"AGE_GROUP=Adult, LOCATION=URBAN",TIME_OF_DAY=Night,0.201592082616179,0.8147826086956521,1.287256820264239
"DARK_CONDITIONS, GENDER=MALE, VEHICLE=NEW",TIME_OF_DAY=Night,0.2708691910499139,0.8146230993206082,1.2870048149701518
"AGE_GROUP=Adult, DARK_CONDITIONS, VEHICLE=NEW",TIME_OF_DAY=Night,0.2121342512908778,0.8145394465097068,1.2868726537651656
LOCATION=URBAN,"DARK_CONDITIONS, VEHICLE=OLD",0.21858864027538727,0.6298822070675759,1.2809855604682094
"DARK_CONDITIONS, VEHICLE=NEW",TIME_OF_DAY=Night,0.29475043029259895,0.8082595870206489,1.2769512442120925
"GENDER=MALE, LOCATION=URBAN","DARK_CONDITIONS, TIME_OF_DAY=Night",0.26043459552495696,0.8051213834386431,1.2758964167142222
"GENDER=MALE, LOCATION=URBAN",TIME_OF_DAY=Night,0.2606497418244406,0.8057864981709345,1.2730440664508849
VEHICLE=NEW,"DARK_CONDITIONS, WEEKEND_FLAG=Weekend",0.24451376936316696,0.61900871459695,1.2685857607789344
LOCATION=URBAN,"DARK_CONDITIONS, TIME_OF_DAY=Night",0.2774311531841652,0.7994420334779913,1.2668962057980577
LOCATION=URBAN,TIME_OF_DAY=Night,0.27786144578313254,0.8006819590824551,1.264979519311778
LOCATION=URBAN,"DARK_CONDITIONS, WEEKEND_FLAG=Weekend",0.21288726333907057,0.6134531928084315,1.2572003704469088
"DARK_CONDITIONS, GENDER=MALE, WEEKEND_FLAG=Weekday",TIME_OF_DAY=Night,0.2512908777969019,0.7875927174645988,1.2443001192302703
"AGE_GROUP=Adult, DARK_CONDITIONS, WEEKEND_FLAG=Weekday",TIME_OF_DAY=Night,0.21224182444061962,0.7860557768924303,1.241871941195111
WEEKEND_FLAG=Weekday,"DARK_CONDITIONS, LOCATION=RURAL",0.24935456110154905,0.6494816475203138,1.2384782349433512
"TIME_OF_DAY=Night, WEEKEND_FLAG=Weekday","AGE_GROUP=Adult, DARK_CONDITIONS",0.21224182444061962,0.7367438386855862,1.2331240051172507
