antecedents,consequents,support,confidence,lift
URBAN,MALE,0.5044405647487475,0.7606593029245121,1.02364019170821
MALE,URBAN,0.5044405647487475,0.6788395730119005,1.0236401917082099
"MALE, WEEKEND_FLAG=Weekday",URBAN,0.4009792014574161,0.6781564927145517,1.0226101568158306
URBAN,"MALE, WEEKEND_FLAG=Weekday",0.4009792014574161,0.604647169919304,1.0226101568158306
PASSENGER_CAR,URBAN,0.48394565052375893,0.6742993125330513,1.0167938125462619
URBAN,PASSENGER_CAR,0.48394565052375893,0.7297544783380072,1.0167938125462619
AGE_GROUP=Adult,URBAN,0.43088659480795505,0.6732092030360531,1.0151500075312727
URBAN,AGE_GROUP=Adult,0.43088659480795505,0.6497453213529445,1.0151500075312727
AGE_GROUP=Adult,MALE,0.4798466676787612,0.7497035104364327,1.0088966797578593
MALE,AGE_GROUP=Adult,0.4798466676787612,0.6457428877879361,1.0088966797578593
URBAN,WEEKEND_FLAG=Weekday,0.5391680582966449,0.8130258112516454,1.0027432511753196
WEEKEND_FLAG=Weekday,URBAN,0.5391680582966449,0.6649815100875346,1.0027432511753196
"URBAN, WEEKEND_FLAG=Weekday",MALE,0.4009792014574161,0.7436998451358581,1.0008173818703503
WEEKEND_FLAG=Weekday,AGE_GROUP=Adult,0.5185213298922119,0.6395169217806488,0.9991693462450506
AGE_GROUP=Adult,WEEKEND_FLAG=Weekday,0.5185213298922119,0.810128083491461,0.9991693462450506
WEEKEND_FLAG=Weekday,PASSENGER_CAR,0.5721117352360711,0.7056125076066097,0.9831559148820175
PASSENGER_CAR,WEEKEND_FLAG=Weekday,0.5721117352360711,0.797144368059228,0.9831559148820175
WEEKEND_FLAG=Weekday,MALE,0.5912782753909215,0.7292515096194355,0.9813738584939418
MALE,WEEKEND_FLAG=Weekday,0.5912782753909215,0.7956994739261453,0.9813738584939417
"MALE, URBAN",WEEKEND_FLAG=Weekday,0.4009792014574161,0.794898803701753,0.9803863539734021
PASSENGER_CAR,AGE_GROUP=Adult,0.4380598147867011,0.6103648863035431,0.9536227481217834
AGE_GROUP=Adult,PASSENGER_CAR,0.4380598147867011,0.6844165085388995,0.9536227481217833
PASSENGER_CAR,MALE,0.48990435706695007,0.6826017979904813,0.9185960556439655
MALE,PASSENGER_CAR,0.48990435706695007,0.6592777976403289,0.9185960556439654
